time,open,high,low,close,Volume,Volume MA
1768777200,95505,95655,95115,95150,378,
1768777500,95150,95220,95050,95125,376,
1768777800,95135,95275,95080,95185,264,
1768778100,95180,95295,95175,95270,106,
1768778400,95290,95295,94805,95045,784,
1768778700,94990,94990,94660,94670,423,
1768779000,94700,94905,94610,94670,238,
1768779300,94665,94770,94610,94610,68,
1768779600,94605,94610,94480,94565,1711,
1768779900,94545,94555,93645,93900,2828,
1768780200,93825,94075,93760,93830,185,
1768780500,93840,93855,93655,93700,322,
1768780800,93705,93705,91985,93035,3064,
1768781100,93090,93155,92750,92900,612,
1768781400,92925,92950,92410,92500,535,
1768781700,92475,92905,92225,92855,853,
1768782000,92820,92820,92290,92675,576,
1768782300,92655,92800,92355,92670,2647,
1768782600,92570,92720,92305,92625,489,
1768782900,92565,92925,92490,92860,453,845.6
1768783200,92855,93100,92735,93035,369,845.15
1768783500,93000,93000,92765,92890,241,838.4
1768783800,92910,92910,92720,92785,155,832.95
1768784100,92805,92805,92720,92750,102,832.75
1768784400,92720,92720,92505,92670,130,800.05
1768784700,92620,92840,92620,92815,73,782.55
1768785000,92790,92890,92750,92765,85,774.9
1768785300,92750,92925,92730,92805,260,784.5
1768785600,92745,92785,92600,92625,158,706.85
1768785900,92655,92680,92570,92570,111,571
1768786200,92580,92760,92535,92760,145,569
1768786500,92730,92820,92605,92605,118,558.8
1768786800,92650,92705,92515,92520,213,416.25
1768787100,92520,92525,92085,92230,2312,501.25
1768787400,92255,92390,92240,92295,298,489.4
1768787700,92300,92650,92295,92610,1221,507.8
1768788000,92600,92640,92465,92565,145,486.25
1768788300,92535,92640,92405,92475,156,361.7
1768788600,92475,92510,92385,92430,61,340.3
1768788900,92410,92470,92355,92470,117,323.5
1768789200,92460,92690,92435,92600,92,309.65
1768789500,92600,92600,92450,92490,23,298.75
1768789800,92490,92595,92450,92575,27,292.35
1768790100,92565,92570,92495,92570,17,288.1
1768790400,92590,92625,92550,92625,64,284.8
1768790700,92565,92630,92500,92555,27,282.5
1768791000,92580,92610,92565,92570,13,278.9
1768791300,92570,92605,92525,92585,82,270
1768791600,92565,92655,92550,92615,82,266.2
1768791900,92635,92765,92630,92765,37,262.5
1768792200,92690,92765,92690,92755,58,258.15
1768792500,92770,92825,92760,92760,25,253.5
1768792800,92780,92780,92490,92540,103,248
1768793100,92545,92595,92510,92590,25,133.65
1768793400,92635,92635,92530,92580,35,120.5
1768793700,92620,92635,92570,92585,32,61.05
1768794000,92590,92690,92590,92650,51,56.35
1768794300,92660,92690,92625,92670,33,50.2
1768794600,92675,92750,92675,92740,21,48.2
1768794900,92715,92735,92690,92720,37,44.2
1768795200,92685,92775,92630,92680,50,42.1
1768795500,92710,92735,92595,92650,57,43.8
1768795800,92645,92680,92610,92610,17,43.3
1768796100,92605,92655,92600,92655,15,43.2
1768796400,92635,92640,92485,92540,52,42.6
1768796700,92490,92695,92475,92675,52,43.85
1768797000,92680,92730,92680,92725,18,44.1
1768797300,92655,92675,92580,92675,94,44.7
1768797600,92710,92750,92685,92685,46,42.9
1768797900,92695,92730,92680,92725,65,44.3
1768798200,92725,92800,92715,92750,83,45.55
1768798500,92765,92780,92700,92700,69,47.75
1768798800,92715,92795,92715,92780,30,44.1
1768799100,92770,92770,92665,92740,28,44.25
1768799400,92760,92800,92645,92645,27,43.85
1768799700,92650,92650,92575,92600,13,42.9
1768800000,92585,92665,92585,92615,101,45.4
1768800300,92615,92670,92560,92670,36,45.55
1768800600,92655,92835,92600,92600,69,47.95
1768800900,92605,92645,92595,92620,31,47.65
1768801200,92640,92700,92605,92635,36,46.95
1768801500,92635,92635,92585,92585,10,44.6
1768801800,92600,92600,92550,92580,16,44.55
1768802100,92545,92555,92505,92535,16,44.6
1768802400,92555,92620,92530,92620,67,45.35
1768802700,92640,92650,92540,92560,161,50.8
1768803000,92560,92605,92490,92600,120,55.9
1768803300,92575,92575,92420,92505,97,56.05
1768803600,92545,92595,92515,92575,63,56.9
1768803900,92590,92690,92590,92615,105,58.9
1768804200,92600,92675,92570,92675,81,58.8
1768804500,92645,92680,92550,92575,105,60.6
1768804800,92595,92635,92540,92615,73,62.75
1768805100,92645,92685,92620,92665,48,63.75
1768805400,92670,92720,92620,92635,45,64.65
1768805700,92625,92625,92590,92590,29,65.45
1768806000,92640,92725,92625,92675,39,62.35
1768806300,92650,92665,92590,92650,35,62.3
1768806600,92605,92700,92600,92695,17,59.7
1768806900,92700,92760,92675,92755,60,61.15
1768807200,92725,92725,92685,92700,31,60.9
1768807500,92720,92720,92630,92665,45,62.65
1768807800,92640,92650,92600,92620,153,69.5
1768808100,92650,92715,92620,92700,73,72.35
1768808400,92715,92730,92690,92725,10,69.5
1768808700,92750,92775,92700,92775,10,61.95
1768809000,92790,92860,92790,92845,65,59.2
1768809300,92840,92895,92810,92865,47,56.7
1768809600,92870,92875,92725,92795,57,56.4
1768809900,92765,92835,92765,92835,10,51.65
1768810200,92815,92895,92795,92795,53,50.25
1768810500,92775,93030,92775,93000,175,53.75
1768810800,93035,93310,93035,93270,210,60.6
1768811100,93270,93270,93025,93025,134,64.9
1768811400,93005,93230,92945,93170,64,65.85
1768811700,93135,93245,93130,93140,61,67.45
1768812000,93130,93255,93105,93225,52,68.1
1768812300,93225,93360,93225,93320,72,69.95
1768812600,93350,93365,93285,93350,98,74
1768812900,93330,93460,93330,93360,1203,131.15
1768813200,93375,93380,93235,93305,1064,182.8
1768813500,93290,93290,93240,93260,21,181.6
1768813800,93250,93250,93100,93135,37,175.8
1768814100,93150,93235,93040,93040,42,174.25
1768814400,93100,93190,93075,93150,30,175.25
1768814700,93185,93185,93075,93105,1369,243.2
1768815000,93105,93145,93060,93080,767,278.3
1768815300,93100,93100,93025,93040,405,296.2
1768815600,93020,93060,92975,92995,420,314.35
1768815900,93050,93120,93050,93120,60,316.85
1768816200,93135,93150,93060,93070,15,314.95
1768816500,93075,93100,93055,93100,13,306.85
1768816800,93065,93070,93010,93020,14,297.05
1768817100,93000,93000,92945,92955,62,293.45
1768817400,92980,93045,92970,93030,21,291.3
1768817700,93115,93125,93080,93125,28,289.65
1768818000,93105,93170,93095,93150,22,288.15
1768818300,93125,93125,93060,93060,4,284.75
1768818600,93050,93050,93015,93050,14,280.55
1768818900,93000,93040,93000,93040,7,220.75
1768819200,93035,93065,93035,93065,9,168
1768819500,93100,93115,93060,93060,8,167.35
1768819800,93120,93120,93120,93120,2,165.6
1768820100,93140,93140,93105,93130,4,163.7
1768820400,93080,93080,93055,93055,6,162.5
1768820700,93060,93095,93060,93095,15,94.8
1768821000,93055,93070,93050,93050,3,56.6
1768821300,93080,93160,93080,93080,55,39.1
1768821600,93085,93205,93085,93205,10,18.6
1768821900,93215,93240,93180,93195,33,17.25
1768822200,93195,93200,93160,93175,24,17.7
1768822500,93230,93320,93230,93320,8,17.45
1768822800,93355,93355,93300,93310,11,17.3
1768823100,93325,93420,93290,93290,53,16.85
1768823400,93310,93310,93250,93250,14,16.5
1768823700,93280,93300,93270,93270,24,16.3
1768824000,93260,93265,93115,93125,21,16.25
1768824300,93130,93205,93125,93205,19,17
1768824600,93230,93235,93090,93140,39,18.25
1768824900,93140,93235,93140,93210,8,18.3
1768825200,93215,93225,93150,93190,35,19.6
1768825500,93175,93175,93080,93120,53,21.85
1768825800,93140,93320,93130,93285,285,36
1768826100,93295,93320,93245,93290,54,38.5
1768826400,93315,93315,93230,93230,35,39.95
1768826700,93250,93295,93120,93135,142,46.3
1768827000,93150,93200,93135,93175,23,47.3
1768827300,93140,93155,93085,93135,42,46.65
1768827600,93115,93115,93055,93055,14,46.85
1768827900,93065,93105,93010,93105,77,49.05
1768828200,93110,93145,93075,93075,9,48.3
1768828500,93080,93080,93010,93010,16,48.7
1768828800,93015,93015,92860,92975,103,53.3
1768829100,93045,93075,93020,93025,16,51.45
1768829400,93015,93120,93005,93115,63,53.9
1768829700,93080,93150,93080,93140,35,54.45
1768830000,93165,93245,93135,93170,55,56.15
1768830300,93220,93220,93140,93140,23,56.35
1768830600,93125,93125,93095,93115,16,55.2
1768830900,93105,93135,93090,93090,14,55.5
1768831200,93110,93120,93030,93045,22,54.85
1768831500,93010,93010,92850,92935,43,54.35
1768831800,92915,92960,92910,92960,39,42.05
1768832100,92935,92975,92915,92975,21,40.4
1768832400,92975,93040,92935,92950,98,43.55
1768832700,92860,92970,92860,92920,90,40.95
1768833000,92940,93035,92915,92970,70,43.3
1768833300,92970,92970,92745,92820,214,51.9
1768833600,92810,92895,92810,92850,66,54.5
1768833900,92825,92925,92790,92915,53,53.3
1768834200,92925,92955,92855,92885,124,59.05
1768834500,92880,92905,92820,92865,78,62.15
1768834800,92870,93060,92870,93005,101,62.05
1768835100,93040,93085,92960,93060,117,67.1
1768835400,93085,93135,93005,93130,114,69.65
1768835700,93120,93175,93045,93125,166,76.2
1768836000,93115,93135,93075,93085,21,74.5
1768836300,93130,93170,92970,92995,72,76.95
1768836600,93015,93165,93015,93135,65,79.4
1768836900,93165,93165,93005,93055,763,116.85
1768837200,93095,93125,93065,93080,40,117.75
1768837500,93080,93155,93070,93120,72,119.2
1768837800,93105,93195,93065,93160,73,120.9
1768838100,93145,93195,93130,93160,49,122.3
1768838400,93150,93245,93135,93205,102,122.5
1768838700,93215,93215,93105,93145,19,118.95
1768839000,93125,93165,93120,93120,84,119.65
1768839300,93125,93180,93060,93180,46,111.25
1768839600,93160,93230,93160,93230,27,109.3
1768839900,93240,93290,93225,93255,43,108.8
1768840200,93265,93360,93245,93360,84,106.8
1768840500,93350,93370,93305,93320,46,105.2
1768840800,93330,93335,93255,93325,35,101.9
1768841100,93345,93380,93260,93260,46,98.35
1768841400,93240,93515,93235,93510,181,101.7
1768841700,93460,93530,93410,93435,109,98.85
1768842000,93405,93435,93245,93255,155,105.55
1768842300,93320,93420,93295,93365,198,111.85
1768842600,93410,93525,93375,93485,91,113.15
1768842900,93430,93485,93420,93430,33,76.65
1768843200,93445,93465,93415,93435,25,75.9
1768843500,93450,93495,93370,93380,13,72.95
1768843800,93345,93355,93250,93300,47,71.65
1768844100,93310,93340,93265,93275,27,70.55
1768844400,93285,93350,93250,93330,178,74.35
1768844700,93305,93350,93280,93335,131,79.95
1768845000,93325,93365,93325,93350,24,76.95
1768845300,93350,93355,93300,93350,22,75.75
1768845600,93360,93365,93195,93220,43,76.55
1768845900,93245,93290,93195,93290,94,79.1
1768846200,93315,93315,93190,93210,16,75.7
1768846500,93185,93220,93165,93185,25,74.65
1768846800,93170,93185,93090,93180,113,78.55
1768847100,93165,93165,93080,93080,61,79.3
1768847400,93065,93080,93010,93065,87,74.6
1768847700,93070,93135,93015,93100,28,70.55
1768848000,93115,93220,93115,93185,50,65.3
1768848300,93210,93215,93120,93140,37,57.25
1768848600,93100,93130,93065,93090,14,53.4
1768848900,93145,93145,93105,93115,16,52.55
1768849200,93145,93170,93080,93090,60,54.3
1768849500,93085,93145,93085,93110,25,54.9
1768849800,93100,93170,93045,93155,95,57.3
1768850100,93140,93210,93105,93195,52,58.55
1768850400,93170,93205,93150,93170,36,51.45
1768850700,93140,93140,93140,93140,1,44.95
1768851000,93115,93180,93100,93180,35,45.5
1768851300,93175,93195,93160,93165,13,45.05
1768851600,93130,93220,93105,93220,100,47.9
1768851900,93215,93250,93165,93210,37,45.05
