time,open,high,low,close,Volume,Volume MA
1768852200,93160,93195,93150,93150,8,44.65
1768852500,93160,93205,93145,93205,16,44.2
1768852800,93225,93285,93225,93240,46,40.85
1768853100,93235,93235,93220,93225,12,38.4
1768853400,93245,93325,93245,93250,51,36.6
1768853700,93260,93330,93260,93280,22,36.3
1768854000,93270,93320,93245,93320,33,35.45
1768854300,93315,93385,93300,93350,27,34.95
1768854600,93370,93375,93240,93250,46,36.55
1768854900,93230,93310,93225,93270,46,38.05
1768855200,93265,93275,93210,93210,35,36.8
1768855500,93210,93225,93175,93215,27,36.9
1768855800,93215,93225,93175,93200,12,32.75
1768856100,93180,93245,93155,93235,74,33.85
1768856400,93245,93390,93245,93390,181,41.1
1768856700,93360,93435,93330,93340,60,44.05
1768857000,93315,93335,93165,93235,88,46.7
1768857300,93235,93235,93075,93150,82,50.15
1768857600,93170,93175,93120,93120,14,45.85
1768857900,93140,93170,93110,93130,25,45.25
1768858200,93155,93155,93095,93095,6,45.15
1768858500,93120,93150,93120,93140,13,45
1768858800,93140,93185,93125,93145,46,45
1768859100,93125,93140,93070,93115,26,45.7
1768859400,93115,93120,93075,93075,17,44
1768859700,93100,93155,93095,93130,155,50.65
1768863600,92880,92880,92500,92600,351,66.55
1768863900,92610,92660,92260,92595,373,83.85
1768864200,92590,92645,92430,92510,160,89.55
1768864500,92500,92500,92235,92480,192,96.85
1768864800,92455,92520,92380,92470,116,100.9
1768865100,92495,92605,92495,92565,101,104.6
1768865400,92610,92840,92590,92755,117,109.85
1768865700,92735,92795,92685,92725,86,110.45
1768866000,92710,92805,92710,92730,67,104.75
1768866300,92755,92800,92680,92765,52,104.35
1768866600,92790,92790,92680,92685,27,101.3
1768866900,92690,92730,92680,92725,16,98
1768867200,92700,92860,92650,92820,102,102.4
1768867500,92870,92935,92770,92815,30,102.65
1768867800,92840,92875,92730,92765,40,104.35
1768868100,92720,92730,92610,92650,148,111.1
1768868400,92635,92635,92455,92485,124,115
1768868700,92490,92525,92400,92525,107,119.05
1768869000,92490,92620,92490,92545,59,121.15
1768869300,92595,92760,92595,92745,50,115.9
1768869600,92770,92815,92745,92780,39,100.3
1768869900,92780,92805,92695,92715,42,83.75
1768870200,92665,92815,92660,92770,38,77.65
1768870500,92775,92785,92685,92780,63,71.2
1768870800,92760,92770,92665,92770,81,69.45
1768871100,92825,92895,92685,92705,62,67.5
1768871400,92685,92790,92600,92790,48,64.05
1768871700,92795,92885,92735,92850,39,61.7
1768872000,92875,92925,92825,92880,45,60.6
1768872300,92935,92965,92885,92945,114,63.7
1768872600,92910,92935,92820,92835,78,66.25
1768872900,92810,92840,92735,92770,62,68.55
1768873200,92785,92800,92715,92785,40,65.45
1768873500,92760,92885,92760,92885,72,67.55
1768873800,92855,92895,92815,92875,40,67.55
1768874100,92910,92910,92760,92780,216,70.95
1768874400,92795,92795,92640,92680,110,70.25
1768874700,92650,92660,92515,92550,108,70.3
1768875000,92560,92585,92485,92515,128,73.75
1768875300,92490,92585,92490,92565,105,76.5
1768875600,92560,92575,92405,92545,107,79.9
1768875900,92550,92560,92390,92540,157,85.65
1768876200,92540,92655,92540,92620,90,88.25
1768876500,92620,92710,92615,92645,72,88.7
1768876800,92660,92670,92615,92655,26,85.95
1768877100,92645,92735,92600,92600,67,86.2
1768877400,92595,92630,92535,92585,115,89.55
1768877700,92605,92675,92540,92595,269,101.05
1768878000,92605,92710,92590,92595,150,106.3
1768878300,92545,92545,92425,92425,34,102.3
1768878600,92425,92470,92380,92440,81,102.45
1768878900,92440,92520,92435,92510,54,102.05
1768879200,92530,92530,92410,92470,63,103.2
1768879500,92455,92475,92380,92415,83,103.75
1768879800,92380,92405,92300,92395,183,110.9
1768880100,92380,92455,92340,92410,52,102.7
1768880400,92445,92465,92390,92440,44,99.4
1768880700,92440,92520,92405,92480,74,97.7
1768881000,92480,92510,92430,92440,60,94.3
1768881300,92430,92470,92415,92435,21,90.1
1768881600,92435,92435,92370,92400,30,86.25
1768881900,92440,92505,92420,92420,53,81.05
1768882200,92430,92430,92315,92325,27,77.9
1768882500,92330,92345,92270,92305,34,76
1768882800,92345,92345,92205,92250,68,78.1
1768883100,92250,92315,92190,92305,145,82
1768883400,92320,92435,92320,92435,17,77.1
1768883700,92370,92370,92325,92325,15,64.4
1768884000,92335,92365,92235,92245,31,58.45
1768884300,92225,92280,92220,92270,62,59.85
1768884600,92265,92265,92060,92135,178,64.7
1768884900,92090,92150,92015,92065,45,64.25
1768885200,92065,92070,91620,91635,1322,127.2
1768885500,91670,91870,91570,91600,190,132.55
1768885800,91610,91680,91375,91455,387,142.75
1768886100,91415,91720,91320,91695,282,154.25
1768886400,91690,91700,91605,91685,118,157.95
1768886700,91690,91765,91660,91730,93,158.9
1768887000,91800,91825,91680,91775,76,159.7
1768887300,91820,91820,91665,91695,79,162.6
1768887600,91670,91690,91545,91655,129,167.55
1768887900,91650,91785,91650,91745,196,174.7
1768888200,91740,91855,91725,91725,93,178
1768888500,91720,91735,91670,91670,43,178.45
1768888800,91650,91665,91575,91575,45,177.3
1768889100,91600,91635,91570,91610,23,171.2
1768889400,91610,91610,91535,91540,42,172.45
1768889700,91540,91540,90910,90910,853,214.35
1768890000,90970,91225,90850,91225,160,220.8
1768890300,91220,91300,91060,91260,105,222.95
1768890600,91245,91245,90785,91040,581,243.1
1768890900,90995,91105,90860,90950,215,251.6
1768891200,90980,91155,90975,91155,62,188.6
1768891500,91135,91135,90915,90950,54,181.8
1768891800,90930,91000,90740,90810,184,171.65
1768892100,90820,90935,90805,90935,130,164.05
1768892400,90910,90980,90825,90825,144,165.35
1768892700,90895,91115,90895,91075,170,169.2
1768893000,91120,91130,91000,91010,79,169.35
1768893300,91025,91040,90895,90990,47,167.75
1768893600,90985,91055,90890,90980,147,168.65
1768893900,91010,91065,90975,91020,41,160.9
1768894200,91020,91125,91000,91080,16,157.05
1768894500,91080,91180,91070,91120,27,156.25
1768894800,91145,91205,91140,91150,34,155.7
1768895100,91145,91215,91135,91215,77,158.4
1768895400,91210,91285,91150,91230,45,158.55
1768895700,91220,91220,91125,91190,18,116.8
1768896000,91150,91150,91035,91055,101,113.85
1768896300,91025,91115,91025,91085,176,117.4
1768896600,91080,91095,90775,90975,121,94.4
1768896900,91020,91105,90870,91030,109,89.1
1768897200,91060,91175,91025,91155,117,91.85
1768897500,91195,91245,91140,91185,50,91.65
1768897800,91155,91155,90910,90915,92,87.05
1768898100,90900,90960,90630,90725,386,99.85
1768898400,90735,90835,90715,90795,141,99.7
1768898700,90830,90910,90735,90875,65,94.45
1768899000,90850,91030,90850,90975,165,98.75
1768899300,91010,91095,90975,91065,136,103.2
1768899600,91020,91070,90925,90970,62,98.95
1768899900,90990,91075,90990,91015,91,101.45
1768900200,91060,91080,91015,91045,43,102.8
1768900500,91045,91085,90910,90910,112,107.05
1768900800,90930,91000,90930,90965,26,106.65
1768901100,90990,91085,90945,91055,52,105.4
1768901400,91065,91070,90890,90950,63,106.3
1768901700,90950,91055,90895,91035,19,106.35
1768902000,91055,91065,90980,91025,65,104.55
1768902300,91025,91055,90975,91020,53,98.4
1768902600,90950,91000,90910,90945,52,94.95
1768902900,90985,91045,90980,91035,13,90.15
1768903200,91000,91035,90965,90965,37,86.15
1768903500,90985,91120,90985,91040,47,86
1768903800,91060,91180,91025,91170,74,85.1
1768904100,91180,91215,91155,91200,46,68.1
1768904400,91205,91250,91155,91190,56,63.85
1768904700,91175,91305,91175,91290,58,63.5
1768905000,91310,91310,91185,91185,52,57.85
1768905300,91195,91200,91130,91175,35,52.8
1768905600,91165,91230,91150,91230,34,51.4
1768905900,91240,91245,91225,91230,10,47.35
1768906200,91225,91295,91220,91285,120,51.2
1768906500,91280,91315,91270,91280,48,48
1768906800,91260,91390,91260,91370,251,59.25
1768907100,91370,91450,91345,91410,171,65.2
1768907400,91400,91460,91365,91390,81,66.1
1768907700,91390,91415,91345,91375,119,71.1
1768908000,91360,91370,91325,91360,72,71.45
1768908300,91370,91475,91370,91440,120,74.8
1768908600,91410,91430,91365,91375,33,73.85
1768908900,91380,91380,91335,91355,39,75.15
1768909200,91320,91365,91270,91365,36,75.1
1768909500,91335,91370,91335,91370,27,74.1
1768909800,91365,91365,91275,91295,69,73.85
1768910100,91300,91335,91235,91235,33,73.2
1768910400,91270,91275,91200,91265,65,73.65
1768910700,91225,91300,91215,91300,73,74.4
1768911000,91300,91345,91255,91295,178,80.7
1768911300,91320,91335,91105,91125,306,94.25
1768911600,91110,91175,91070,91070,101,97.6
1768911900,91090,91235,91090,91155,135,103.85
1768912200,91165,91265,91150,91185,79,101.8
1768912500,91230,91250,91190,91210,32,101
1768912800,91225,91245,91165,91195,47,90.8
1768913100,91190,91235,91170,91235,29,83.7
1768913400,91245,91290,91230,91280,120,85.65
1768913700,91290,91350,91265,91325,137,86.55
1768914000,91310,91320,91080,91120,166,91.25
1768914300,91110,91115,90970,91005,349,102.7
1768914600,90995,90995,90855,90910,346,118.35
1768914900,90875,91020,90865,91020,96,121.2
1768915200,90980,91040,90945,90955,73,123.05
1768915500,90980,90980,90835,90850,46,124
1768915800,90855,90975,90745,90890,853,163.2
1768916100,90905,91100,90830,91100,71,165.1
1768916400,91080,91105,90975,91000,120,167.85
1768916700,91000,91030,90930,91000,57,167.05
1768917000,90935,91070,90910,90910,203,168.3
1768917300,90935,90950,90880,90935,106,158.3
1768917600,90950,91115,90950,91115,120,159.25
1768917900,91120,91140,91030,91090,115,158.25
1768918200,91090,91135,91065,91105,134,161
1768918500,91070,91075,90695,90735,262,172.5
1768918800,90750,90995,90750,90900,192,179.75
1768919100,90945,91010,90835,90965,328,194.7
1768919400,90975,91065,90645,90765,1837,280.55
1768919700,90815,91420,90720,91310,1058,326.6
1768920000,91315,91375,90785,91105,1128,374.7
1768920300,91075,91075,90235,90410,1789,446.7
1768920600,90420,90730,90355,90470,1017,480.25
1768920900,90420,90700,90420,90510,562,503.55
1768921200,90475,90600,90100,90275,1238,561.8
1768921500,90305,90425,89875,89900,1537,636.35
1768921800,89910,90440,89830,90285,1297,658.55
1768922100,90260,90490,89985,90010,855,697.75
1768922400,89990,90635,89990,90610,1227,753.1
1768922700,90610,90735,90540,90605,436,772.05
1768923000,90600,90790,90530,90750,452,784.5
1768923300,90770,90845,90570,90600,270,792.7
1768923600,90595,90675,90500,90530,310,802.2
1768923900,90520,90535,90350,90450,451,819
1768924200,90425,90590,90330,90365,433,833.95
1768924500,90355,90730,90330,90700,254,833.55
1768924800,90705,90810,90670,90685,212,834.55
1768925100,90690,90755,90490,90495,297,833
1768925400,90515,90880,90515,90775,276,754.95
1768925700,90750,90975,90725,90975,218,712.95
1768926000,90965,91015,90645,90650,364,674.75
1768926300,90625,90650,90555,90605,103,590.45
1768926600,90600,90660,90345,90370,234,551.3
1768926900,90395,90495,90390,90465,102,528.3
1768927200,90455,90455,90075,90110,539,493.35
1768927500,90105,90140,89995,90085,355,434.25
1768927800,90140,90225,90075,90095,219,380.35
1768928100,90060,90230,90055,90150,126,343.9
1768928400,90150,90250,90050,90250,372,301.15
1768928700,90275,90485,90245,90390,247,291.7
1768929000,90385,90485,90295,90475,146,276.4
1768929300,90460,90500,90320,90320,137,269.75
1768929600,90360,90365,90225,90260,109,259.7
1768929900,90260,90300,90160,90190,394,256.85
1768930200,90165,90170,89905,89940,813,275.85
1768930500,89920,89950,89650,89735,1126,319.45
1768930800,89755,89790,89635,89635,547,336.2
1768931100,89640,89740,89430,89675,736,358.15
1768931400,89670,89790,89395,89755,552,371.95
1768931700,89765,89830,89650,89720,323,377.2
1768932000,89755,89875,89740,89855,232,370.6
1768932300,89850,89860,89670,89760,296,380.25
1768932600,89765,89885,89745,89870,130,375.05
1768932900,89850,89950,89730,89775,170,378.45
1768933200,89770,89805,89615,89775,169,359.95
1768933500,89785,89900,89670,89695,214,352.9
1768933800,89700,89735,89585,89665,247,354.3
1768934100,89645,89725,89510,89575,279,361.95
1768934400,89580,89580,89425,89515,313,359
1768934700,89485,89590,89445,89570,139,353.6
1768935000,89575,89625,89345,89385,245,358.55
1768935300,89390,89550,89375,89460,432,373.3
1768935600,89480,89625,89465,89520,173,376.5
1768935900,89545,89800,89520,89685,384,376
1768936200,89685,89710,89390,89550,254,348.05
1768936500,89535,89665,89495,89630,100,296.75
1768936800,89625,89665,89480,89540,96,274.2
1768937100,89550,89590,89460,89475,207,247.75
1768937400,89465,89505,89270,89385,472,243.75
1768937700,89415,89445,89255,89315,351,245.15
1768938000,89320,89540,89280,89395,206,243.85
1768938300,89440,89460,89320,89450,100,234.05
1768938600,89430,89770,89430,89735,268,240.95
1768938900,89755,89755,89670,89685,238,244.35
1768939200,89680,89695,89480,89535,245,248.15
1768939500,89515,89560,89390,89490,245,249.7
1768939800,89510,89605,89345,89345,112,242.95
1768940100,89365,89805,89365,89770,240,241
1768940400,89740,89850,89685,89800,237,237.2
1768940700,89795,89825,89720,89760,193,239.9
1768941000,89755,89795,89610,89675,134,234.35
1768941300,89655,89695,89590,89630,175,221.5
1768941600,89610,89700,89580,89650,293,227.5
1768941900,89640,89830,89610,89710,287,222.65
1768942200,89700,89825,89520,89520,497,234.8
1768942500,89510,89730,89505,89685,2599,359.75
1768942800,89700,89755,89590,89630,926,401.25
1768943100,89630,89770,89630,89770,146,398.2
1768943400,89765,89830,89725,89800,199,384.55
1768943700,89790,89810,89700,89705,215,377.75
1768944000,89710,89710,89615,89655,112,373.05
1768944300,89660,89675,89580,89625,133,374.7
1768944600,89605,89620,89490,89490,115,367.05
1768944900,89515,89575,89455,89525,133,361.8
1768945200,89505,89550,89460,89550,147,356.9
1768945500,89560,89585,89415,89435,167,353
1768945800,89420,89500,89400,89455,32,349
1768946100,89440,89570,89440,89520,160,345
1768950000,88630,88630,88020,88100,701,368.2
1768950300,88075,88220,88015,88090,609,389
1768950600,88100,88180,88090,88145,325,398.55
1768950900,88150,88190,87825,87975,638,421.7
1768951200,87980,88285,87970,88130,799,447
1768951500,88135,88175,87965,88105,242,444.75
1768951800,88125,88400,88125,88400,190,429.4
1768952100,88390,88485,88345,88380,121,305.5
1768952400,88425,88520,88340,88505,224,270.4
1768952700,88475,88520,88335,88370,119,269.05
1768953000,88405,88470,88360,88450,67,262.45
1768953300,88435,88480,88400,88415,70,255.2
1768953600,88420,88620,88385,88575,121,255.65
1768953900,88585,88635,88495,88560,86,253.3
1768954200,88570,88570,88375,88410,67,250.9
1768954500,88400,88475,88310,88380,100,249.25
1768954800,88395,88395,88235,88365,90,246.4
1768955100,88370,88615,88335,88560,80,242.05
1768955400,88550,88625,88545,88590,76,244.25
1768955700,88625,88930,88625,88915,245,248.5
1768956000,88885,88890,88790,88850,71,217
1768956300,88850,88950,88810,88945,129,193
1768956600,88930,88995,88885,88975,112,182.35
1768956900,88940,88965,88880,88960,111,156
1768957200,88900,89105,88900,89015,278,129.95
1768957500,89000,89020,88840,88985,108,123.25
1768957800,89010,89125,89005,89100,85,118
1768958100,89130,89170,89005,89025,49,114.4
1768958400,89035,89035,88935,89015,98,108.1
1768958700,88985,89070,88950,89065,167,110.5
1768959000,89070,89105,88995,89030,176,115.95
1768959300,89095,89125,89035,89035,53,115.1
1768959600,89070,89120,88945,89040,169,117.5
1768959900,88985,89115,88965,89065,115,118.95
1768960200,89065,89160,89050,89050,57,118.45
1768960500,88985,89030,88965,89000,88,117.85
1768960800,89025,89230,88995,89225,104,118.55
1768961100,89170,89345,89170,89195,107,119.9
1768961400,89180,89260,89130,89245,93,120.75
1768961700,89260,89275,89185,89210,32,110.1
1768962000,89290,89290,89190,89220,40,108.55
1768962300,89225,89245,89075,89100,208,112.5
1768962600,89095,89100,88980,88980,53,109.55
1768962900,89005,89020,88945,89020,82,108.1
1768963200,89035,89165,89035,89060,63,97.35
1768963500,89055,89165,89035,89120,58,94.85
1768963800,89110,89125,89055,89065,71,94.15
1768964100,89070,89085,89025,89035,41,93.75
1768964400,89035,89195,89035,89195,63,92
1768964700,89175,89175,89080,89150,39,85.6
1768965000,89190,89245,89050,89210,244,89
1768965300,89220,89245,89140,89235,269,99.8
1768965600,89225,89290,89215,89260,93,96
1768965900,89270,89320,89240,89310,67,93.6
1768966200,89305,89320,89245,89300,122,96.85
1768966500,89305,89460,89295,89375,381,111.5
1768966800,89405,89605,89395,89545,399,126.25
1768967100,89545,89555,89475,89495,97,125.75
1768967400,89510,89510,89380,89425,69,124.55
